danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,names
0.829,0.57,-9.986,0.163,0.322,0.0,0.0985,0.685,99.984,7ayajktOlSTcXRPFJA6rlZ,146062,POP
0.895,0.701,-7.174,0.211,0.0372,0.411,0.194,0.383,99.985,5dlntEVwMuRUs3fIynheZP,146366,POP SMOKE
0.81,0.633,-8.33,0.362,0.0886,0.0,0.119,0.531,140.225,5yQOP0mBQhjphqREPR8dc5,123429,Pop
0.807,0.432,-9.427,0.167,0.115,0.0,0.131,0.17,159.999,2Jd0G60QHTAGk1ikCSIjK7,205500,Pop
0.806,0.691,-5.392,0.22,0.184,0.0894,0.109,0.634,131.71,4Fv2ZAQ0U1lsEGjhghcdb0,187273,Poporopa
0.8,0.721,-6.762,0.347,0.0723,0.0,0.183,0.508,140.967,1V0ITHND2m9yP1Ie3rItNC,164573,POP
0.711,0.906,-2.671,0.0284,0.00952,1.64e-05,0.153,0.824,125.916,12zpU2S4lMdrK9dvsOoL1m,157153,I Love It (feat. Charli XCX)
0.68,0.846,-6.067,0.307,0.306,0.000109,0.35,0.627,141.879,3wO7ORmA4iytgfPdROLUK3,190843,Pop
0.601,0.485,-11.234,0.0369,0.436,5.86e-05,0.782,0.723,173.817,1pHyPp8oZuFyiScOcEMdT2,201413,Pop-Song
0.669,0.797,-3.757,0.31,0.0228,0.0,0.33,0.542,173.026,7yt1YL7KdoPK0NMHZE9JLf,194220,Pop
0.724,0.728,-7.938,0.0796,0.228,0.101,0.282,0.175,122.984,7f4azWcTVEDHZ7DSc5eh5a,256573,POP POP POP
0.89,0.579,-15.09,0.107,0.0872,0.0,0.0601,0.573,124.012,5PzrNf5OpWu1U468ShB2kY,256807,Pop
0.659,0.788,-5.746,0.0492,0.0158,0.0,0.173,0.596,147.823,5vI7UrbiOQ0OU86jSuUSIL,150000,Popstars
0.659,0.598,-11.864,0.113,0.245,0.0,0.578,0.77,94.015,7yNhAbSFV9n3rxmnCWznEg,164687,POP
0.687,0.723,-8.235,0.0335,0.152,0.0,0.0864,0.345,144.004,71bpKwCnAdXDBoPDi6ueYH,166667,Pop
0.578,0.214,-25.743,0.0373,0.993,0.878,0.169,0.418,77.999,5LkumJOYiRrBY9O05aTN9C,58250,Pop Goes the Weasel - Cozy Edition
0.672,0.922,-3.983,0.0742,0.0114,0.0,0.171,0.536,120.005,4Yn1y69YDzZkOaKZTXZPBX,178050,Pop
0.563,0.672,-7.226,0.0765,0.359,0.0,0.0972,0.284,99.772,58T4yPLn4NjBYXfRxeweyM,156000,Woo Baby (feat. Chris Brown)
0.804,0.505,-9.661,0.0468,0.0347,0.025,0.179,0.904,115.03,7KDnnWuXEs6z9E23rZR4PZ,165035,Pop
0.765,0.671,-5.249,0.278,0.344,0.0,0.0506,0.798,84.5,63BcfK6YAzJYeISaTPr6IO,249867,Big Poppa - 2007 Remaster
0.574,0.336,-20.79,0.0866,0.983,0.963,0.109,0.147,111.215,037HRmQRKWmLw7SJT5ZUGL,156514,pop
0.591,0.92,-4.131,0.0769,0.000933,0.0,0.129,0.415,92.015,19CCQeIOxxUDcpFw539zd7,190231,All My Life
0.801,0.71,-8.462,0.0387,0.00057,0.897,0.162,0.582,135.024,3F9pgU9AiTCFM0ipFdzCRg,214504,Pop
0.684,0.683,-7.05,0.11,0.658,0.0,0.163,0.744,133.978,0sMCcICKRGJ8Td75nZloeU,191667,POPO
0.85,0.78,-5.137,0.0432,0.0787,0.0,0.122,0.693,120.032,5ZMT6PlzsSdJznOZHfEtdY,210318,POP
0.713,0.462,-10.027,0.123,0.192,2.16e-06,0.105,0.0594,133.053,5mPSyjLatqB00IkPqRlbTE,212947,Pop Style
0.749,0.616,-9.849,0.162,0.00115,2.21e-06,0.159,0.574,90.004,5t0D1BvTybtk332AG37C8Y,154286,Pop
0.54,0.936,-5.372,0.339,0.108,0.0,0.337,0.512,199.778,5wN0lvpZL0UCVQ0iaUbRV2,208329,Populär
0.513,0.902,-9.85,0.936,0.723,0.0,0.861,0.237,141.5,4rg8Wgbj9ExRj9r06PKMiY,153373,Pop
0.581,0.992,-1.564,0.157,0.0311,0.0,0.326,0.46,120.041,1q6nPMog4GJEED3HIQh3Oz,163515,Pop
0.753,0.711,-11.747,0.128,0.229,0.000239,0.134,0.138,119.987,7KXe9mk101WgwKmhHer70O,188064,Popular
0.832,0.779,-6.385,0.203,0.338,0.0,0.121,0.503,116.959,40J1urbVnIAOh3qLUq8agx,154197,POP
0.862,0.689,-5.68,0.323,0.118,0.0,0.0729,0.364,83.964,2VIMXmWUIqhMqg6h5FOFPG,223787,Pop Out Again (feat. Lil Baby & Gunna)
0.879,0.633,-5.309,0.282,0.0644,2.38e-06,0.128,0.701,89.063,7v8EnZ9zbk5JKsOWzY0jw1,252667,Pop
0.464,0.558,-6.973,0.289,0.00275,0.000275,0.223,0.346,158.881,0VOMBffX1llDu37yQUt3u3,195197,Pop Out (feat. Nardo Wick)
0.792,0.685,-6.111,0.15,0.145,0.00016,0.216,0.503,77.521,1sWr0gC6YEz6TxztGbfJms,103742,Pop
0.598,0.934,-3.75,0.112,0.0061,1.48e-06,0.326,0.319,92.444,2eKoPnGnuHqIpfph45z44W,196754,Ronald
0.233,0.859,-5.374,0.115,0.0217,0.456,0.118,0.145,171.621,5fodHfh8rLkRA5fomFrhTq,212093,Pop
0.816,1.0,-5.739,0.0644,0.03,0.852,0.36,0.542,137.974,1iT9oqeZGYOnspkV4AiIoJ,214867,Popcorn - Radio Version
0.765,0.811,-6.586,0.0482,0.00422,0.0,0.0699,0.766,127.925,6MRUQNjaUud1TiFBRV8HNq,160314,Tell Me What You Want
0.39,0.804,-10.343,0.0395,0.0138,0.0,0.328,0.474,103.033,7cM4uRzkS0gP0k3WjErRgA,204627,Pop
0.827,0.69,-6.961,0.344,0.0336,0.0,0.258,0.479,129.877,1ZU19OTgd4Xs5QaYJ78bQF,184680,POPSMOKE DANCE
0.805,0.796,-9.362,0.0476,0.027,0.895,0.105,0.371,111.996,0JQhAr0eF06ZPFOFQZML9I,484546,PoP
0.663,0.81,-5.345,0.107,0.0377,0.0,0.12,0.649,159.988,7lMMU46D1is2fvc5CZhhAM,185440,Poppin' Love
0.543,0.912,-3.681,0.0422,0.00013,9.23e-06,0.333,0.549,91.033,1USeS8c7cpR8dmb07IUAnZ,218521,ZOMBIFIED
0.833,0.652,-6.194,0.308,0.0486,0.000134,0.145,0.413,130.002,18HNGxDOcshRU2Hdu8tMOM,155632,POPOPOP
0.883,0.802,-3.234,0.313,0.0209,0.0,0.198,0.715,109.914,3KcSwX6pyUnfJ0YZlcJE7d,151944,Pop Boy (feat. Aitch)
0.727,0.299,-8.56,0.0813,0.125,0.534,0.102,0.165,69.306,02MFno0s2lpD3rycI7cllL,103043,P_Optimist
0.591,0.981,-4.118,0.0725,0.0343,0.295,0.0999,0.636,160.003,5P8mvvwz8spjOFxKITELti,157500,POPTHATRUNK
0.94,0.727,-9.982,0.0358,0.124,0.00021,0.0808,0.969,110.796,43U1bCDTZAhhY1Y8mCkTG4,296467,Pop Muzik (12 Inch Version)
0.697,0.401,-10.216,0.0543,0.43,0.0109,0.316,0.478,108.996,6SZwj6cjc8JQbkrr8cbIUn,185224,Oh Klahoma
0.891,0.67,-7.256,0.135,0.203,0.00273,0.11,0.938,128.046,3cIjeDpRUFiKU5tDXEY7Aw,184222,Pop Star
0.737,0.847,-5.51,0.158,0.0724,0.0,0.241,0.393,101.943,46L3dPAMmGU254kGxrbXEa,228823,NO FEAR
0.444,0.884,-6.104,0.119,0.00751,8.94e-05,0.116,0.296,94.82,48sJGpBLqQTs0sZ2ImHJof,220587,Popular
0.726,0.867,-5.098,0.511,0.298,5.33e-06,0.386,0.704,150.287,2nSsra44ytBc2LxO85pyy5,141827,Strobo Pop XXL
0.647,0.633,-6.946,0.0531,0.0188,0.0,0.215,0.23,155.954,5WODIX9TtDrmD9oAFFoxkG,160000,Popa
0.656,0.48,-7.156,0.0552,0.318,0.0,0.0917,0.402,132.043,6kxkMrPqppgT3TQjOyhAYk,181320,Popcorn
0.851,0.683,-6.918,0.213,0.0351,0.000887,0.301,0.779,114.882,7H3cuCPaX9WHZXQ0Q9RlxH,187556,Popular (Sped Up) (with Playboi Carti & Madonna)
0.783,0.85,-6.214,0.0958,0.0444,0.0967,0.43,0.523,122.989,0aMjR2rFm2DoRmQuXSfGOl,143700,POPSTAR
0.535,0.951,-5.859,0.0373,0.0174,9.61e-06,0.345,0.444,120.72,5Klo65Y9uouLjNVDV3pqh7,304080,Go West - 2003 Remaster
0.786,0.612,-6.964,0.188,0.0775,2.06e-05,0.138,0.702,83.138,2fTe41iso7GyCLuRu3UmJh,258418,Popular (Slowed) (with Playboi Carti & Madonna)
0.757,0.843,-5.408,0.104,0.00565,0.0161,0.17,0.821,125.983,25owlYCoM7EiKwlixXBaB8,139183,Pop Some Tags
0.904,0.723,-5.224,0.26,0.0631,0.0,0.185,0.835,145.013,2MbdDtCv5LUVjYy9RuGTgC,227478,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix"
0.665,0.626,-15.674,0.919,0.946,0.0,0.424,0.507,99.935,3ZRmQVhSRbAOfHPTyYpgDO,40244,PopUp StartUp
0.526,0.0187,-24.688,0.0995,0.994,0.956,0.0893,0.396,146.862,7amwRp4KIwmjbfGYpRzqjl,98000,Pop! Goes the Weasel
0.652,0.84,-2.877,0.0263,0.000123,0.000582,0.361,0.495,109.996,1VikIHUhVtGjHnrv8W1vQP,148377,Pop a Pill
0.671,0.718,-6.335,0.118,0.538,0.0,0.196,0.792,133.975,7B0k8YTfKzj9BGVaLYXtub,191667,POPO
0.697,0.808,-4.522,0.156,0.372,0.0,0.635,0.42,129.846,2Y24EyaUQki0Yln5a31NFD,224341,Eine Minute
0.691,0.596,-7.951,0.0389,0.00356,0.0145,0.0917,0.31,89.948,7lSHMvxmXOZ0Um2bBR3vlv,161385,POP OUT
0.774,0.513,-5.024,0.0778,0.907,0.0,0.11,0.324,91.03,42er1na9BHF1ERol51wg8M,108132,Imperfections (Interlude)
0.843,0.565,-8.453,0.0394,0.0528,0.098,0.0996,0.3,116.013,6WYRMJqj9wpYmIdSfHQuEO,235763,This Love
0.619,0.638,-5.754,0.0906,0.297,1.41e-06,0.44,0.36,141.967,6vFEvkXOnOTUMgPHxogIRK,186985,Twingo
0.969,0.734,-4.076,0.135,0.448,0.0332,0.0718,0.674,129.965,0Mr8coHqvqMOJIdgAyM3Od,143156,Pop Ikona
0.729,0.795,-4.579,0.144,0.354,0.0,0.536,0.856,146.747,5zd9TgduWbfFXwgnm3K3Rz,176880,Poppin' My Collar (feat. Project Pat)
0.532,0.624,-4.743,0.0539,1.85e-05,0.0,0.207,0.1,76.489,2pC3bWbbDBGkn1l6Zpytvc,100421,popstar
0.469,0.862,-6.4,0.0424,0.00172,0.000104,0.095,0.228,145.052,60G5rZ6LGNcKQKbXz38arf,261565,Pop! (Cherri's Assault)
0.575,0.446,-7.802,0.0296,0.247,0.00567,0.137,0.259,68.985,3ApAsbQP7d5GlFwwdExaTY,262540,Poplar St
0.961,0.489,-9.901,0.128,0.0737,0.0,0.366,0.577,106.961,3Fvyabi22FlOquk9Yr35ab,156233,Popu
